,Country names,DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
38,Bulgaria,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,BG,2021,6.66,
39,Switzerland,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CH,2017,26.58,b
40,Switzerland,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CH,2019,25.78,
41,Switzerland,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CH,2021,24.06,
42,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2005,2.53,
43,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2006,4.51,
44,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2007,4.64,
45,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2008,3.69,
46,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2009,5.31,
47,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2010,5.73,
48,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2011,7.01,
49,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2013,11.36,
50,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2015,13.3,
51,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2017,13.46,
52,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2019,13.97,
53,Cyprus,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CY,2021,9.42,
54,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2005,2.38,
55,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2006,4.34,
56,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2007,3.79,
57,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2008,4.79,
58,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2009,7.93,
59,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2010,7.76,
60,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2011,7.27,
61,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2013,5.77,
62,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2015,5.24,
63,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2017,5.4,
64,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2019,6.09,
65,Czechia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,CZ,2021,6.41,
66,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2005,,u
67,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2006,16.85,
68,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2007,16.97,
69,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2008,16.01,
70,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2009,17.83,
71,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2010,16.56,
72,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2011,18.18,
73,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2013,18.07,
74,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2015,18.97,
75,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2017,18.26,
